"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"Enel SpA ","BIT","ENEL","Utilities",1962,"EU",67117,"BBB+","BBB+","Public Company",10159.4,4.93,102235.7,95648.8,18910.7,14007.9,7687.6,3244.8,10073.9,96181.1,235346.3,82496.3,48154.2,0.316,0.577,19,19781.6,20,12208.11,15
"Glencore plc ","LSE","GLEN","Materials",1974,"EU",135000,"BBB+","BBB+","Public Company",13031.1,5.97,102158.4,203751,23316,26654,20615,15782,3241,43159,127510,34741,36917,1.2,1.27,13,28821.5,11,21618.1,8
"Energy Transfer LP ","NYSE","ET","Energy",1996,"US/CA",12558,"BBB-","BBB-","Public Company",3087,12.36,101475,67417,12403,11392,7395,4147,336,82445,105963,50566,40128,1.28,1.66,10,12673.5,13,7639.96,4
"Occidental Petroleum Corporation ","NYSE","OXY","Energy",1920,"US/CA",11678,"BB+","BB+","Public Company",929,74.48,101026.2,25956,22492,18882,11481,10996,2764,60656,75036,31139,20327,10.8,9.85,27,21260.8,13,14028.76,7
"National Grid plc ","LSE","NG.","Utilities",1990,"EU",29292,"BBB+","BBB+","Public Company",3660.1,13.42,100099.7,24251.4,24251.4,7367.8,5527.5,3093,268.2,75626.4,124694.4,61066.9,31358.9,0.86,0.775,13,7426.7,13,5068.05,13
"Gilead Sciences, Inc. ","NasdaqGS","GILD","Health Care",1987,"US/CA",14400,"BBB+","BBB+","Public Company",1253.4,63.59,98419.6,27305,21874,13213,11105,4137,5338,5663,67952,27285,21064,3.3,6.21,26,12732.4,7,10676.08,19
"Hyundai Motor Company ","KOSE","A005380","Consumer Discretionary",1967,"APAC",70388,"BBB+","BBB+","Public Company",220.7,144.93,98351.6,98736.2,18783.4,9937.7,6209.4,4817.5,10742.1,52731.7,196402.2,91293.1,69357.4,19.3,23.8,24,10810,24,6804,26
"CSL Limited ","ASX","CSL","Health Care",1916,"APAC",30000,"A-","A-","Public Company",481.7,205.78,98338.8,10561.9,5732.3,3324.9,2967.4,2254.7,10436.4,8308.6,28346,9657.8,14577.5,4.81,5.55,16,4504.1,15,3714.46,14
"Marsh & McLennan Companies, Inc. ","NYSE","MMC","Financials",1871,"US/CA",83000,"A-","A-","Public Company",499,170.37,98196.6,19820,9076,5711,5006,3378,1752,2715,34388,13162,11222,6.7,7.12,17,5728.4,8,5052.13,7
"Vodafone Group Public Limited Company ","LSE","VOD","Communication Services",1984,"EU",104000,"BBB","BBB","Public Company",27818.3,1.38,98053.5,50633.2,16669.6,14489,5962,2319.5,8327,45327.7,171020.9,80268.8,63293.7,0.08,0.112,15,15158.9,20,5957.31,15
"Canadian National Railway Company ","TSX","CNR","Industrials",1919,"US/CA",22783,"A","A","Public Company",683.4,126.08,97243.4,11439.8,6704.7,6686.9,5420.6,3977.3,662.2,31742.6,38355.1,10205.5,17972.5,5.68,5.96,28,6945.3,22,5512.68,25
"TC Energy Corporation ","TSX","TRP","Energy",1951,"US/CA",7017,"BBB+","BBB+","Public Company",1011.9,50.93,96129,10578.5,7235,6821.9,4877.1,2539.5,531.8,55458.4,82353.9,42049.3,26389.8,2.49,3.18,19,7674.6,20,5500.7,6
"3M Company ","NYSE","MMM","Industrials",1902,"US/CA",95000,"A+","A+","Public Company",569.8,142.76,95634.1,35355,15622,8616,6712,4150,4564,10287,47072,18317,15117,7.22,10.6,20,9681.6,11,7690.25,13
"Stryker Corporation ","NYSE","SYK","Health Care",1941,"US/CA",46000,"BBB+","BBB+","Public Company",378.3,216.69,94703.3,17108,11426,4548,3580,2079,2944,3252,34631,12901,14877,5.5,9.9,23,5101.2,15,4696.59,18
"Mitsubishi Corporation ","TSE","8058","Industrials",1950,"APAC",77164,"A","A","Public Company",1460.8,33.27,94225.9,142174.6,18509.4,10088.3,8177.1,9448.1,12810,35447.9,180443.8,59583.6,64703.2,6.4,3.74,11,8906,1,4519.23,5
"Target Corporation ","NYSE","TGT","Consumer Discretionary",1902,"US/CA",450000,"A","A","Public Company",460.2,167.5,93897.6,106005,28285,8559,5888,4224,5911,30737,53811,16467,12827,8.95,11,23,9337.9,8,6758.73,24
"GSK plc ","LSE","GSK","Health Care",1715,"EU",90096,"A","A","Public Company",4048.3,16.43,92330.5,46192.4,29480.5,13502.6,10625.2,5537.4,5787.3,14450.5,107110.2,32733,28898.3,1.38,1.58,19,11128.1,14,9635.57,15
"ServiceNow, Inc. ","NYSE","NOW","Information Technology",2004,"US/CA",16881,"A-","A-","Public Company",201.6,466.03,92268.2,5896,5118,675,218,184,1728,1357,10798,2214,3695,0.921,8.25,31,2575.6,9,2078.44,27
"Applied Materials, Inc. ","NasdaqGS","AMAT","Information Technology",1967,"US/CA",31900,"A","A","Public Company",860.3,105,92240.5,23063,11837,8274,7848,6646,4995,2228,25825,5753,12247,7.53,8.1,27,8443.8,15,8113.58,19
"Canadian Pacific Railway Limited ","TSX","CP","Industrials",1881,"US/CA",12711,"BBB+","BBB+","Public Company",929.9,81.27,91179.2,6317.7,3458.7,3328.3,2715,1831.5,54.5,16723.2,53874,16128.1,26731.9,2.26,3.29,26,4427.1,17,3616.59,22
"American Electric Power Company, Inc. ","NasdaqGS","AEP","Utilities",1906,"US/CA",16688,"A-","A-","Public Company",513.7,103.38,90816.6,16792,8205.5,6895.1,3901.3,2574.1,403.4,66579.6,87668.7,37159.6,22680.2,5.09,5.23,16,6671.5,11,3851.4,12
"Analog Devices, Inc. ","NasdaqGS","ADI","Information Technology",1965,"US/CA",24700,"A-","A-","Public Company",514.3,167.07,90658.9,7318.3,7114,5415.5,3211.7,1888,1978,2258.6,52322.1,7118.2,37992.5,3.69,9.63,24,6201,3,5929.72,19
"Bayer Aktiengesellschaft ","XTRA","BAYN","Health Care",1863,"EU",101914,"BBB","BBB","Public Company",982.4,54.37,89910.6,50131.9,31601.5,6851.3,5417.1,4431.3,5190.5,14429.7,136746.3,46482.4,37720.9,4.51,8.4,16,13260.8,14,9250.21,9
"FedEx Corporation ","NYSE","FDX","Industrials",1971,"US/CA",446000,"BBB","BBB","Public Company",259.9,228.03,89563.7,93512,23411,9977,6007,3826,6897,54704,85994,37194,24939,14.5,22.9,27,11844.3,18,7689.51,23
"Northrop Grumman Corporation ","NYSE","NOC","Industrials",1939,"US/CA",88000,"BBB+","BBB+","Public Company",154.7,494.48,89484.6,35667,7317,8757,7479,5674,3530,9549,42579,14657,12926,36.1,26,14,5027.8,8,3709.03,13
"Saudi Basic Industries Corporation ","SASE","2010","Materials",1976,"AFME",35000,"A-","A-","Public Company",3000,27.63,89297.8,46582.1,15449.5,12008.6,8716.4,6652.3,11028.1,36591.7,84819.7,10270.7,56424.2,2.22,2.07,6,12222.7,8,8169.16,7
"CSX Corporation ","NasdaqGS","CSX","Industrials",1978,"US/CA",21712,"BBB+","BBB+","Public Company",2141.2,33.98,88712.4,12522,7098,7098,5642,3939,2239,33516,40531,16908,13500,1.79,1.94,24,7630,18,6044.18,21
"América Móvil, S.A.B. de C.V. ","BMV","AMX L","Communication Services",2000,"LATAM",179942,"A-","A-","Public Company",63753,0.926,87966.6,41732.4,25892.2,14100.7,7379.3,9538.5,1886.8,40075.6,82419.9,32325.3,22147.8,0.147,0.075,6,17454.5,13,9251.01,12
"Becton, Dickinson and Company ","NYSE","BDX","Health Care",1897,"US/CA",75000,"BBB","BBB","Public Company",285.2,260.01,87948.6,20248,9486,5456,3183,1756,2283,6839,53866,18080,23677,5.84,11.7,14,5190.5,6,4383.66,11
"Fiserv, Inc. ","NasdaqGS","FISV","Information Technology",1984,"US/CA",44000,"BBB","BBB","Public Company",639.6,107.27,87929.2,16226,8738,5937,2743,2028,835,2317,76249,21974,31950,3.1,6.92,32,7458.2,20,6136.19,27
"MERCK Kommanditgesellschaft auf Aktien ","XTRA","MRK","Health Care",1668,"EU",62770,"A","A","Public Company",434.8,178.29,87647.8,22389.4,13657.7,6252.4,4682.2,3461.2,2159.7,8207.7,51588.8,12283.6,24355.7,7.96,10.2,16,7295.2,14,5278.77,10
"Waste Management, Inc. ","NYSE","WM","Industrials",1987,"US/CA",48500,"A-","A-","Public Company",413.3,174.63,85565.8,17931,7125,5186,3169,2144,118,14870,29097,13928,7126,5.15,6.05,17,5702.1,16,3665.47,13
"The TJX Companies, Inc. ","NYSE","TJX","Consumer Discretionary",1962,"US/CA",340000,"A","A","Public Company",1171.6,65.09,85364.8,48550,17176.3,5483,4607.9,3360,6226.8,14124.8,28461.5,12507,6003,2.84,3.29,19,6044.3,15,5106.36,16
"Exelon Corporation ","NasdaqGS","EXC","Utilities",1999,"US/CA",31518,"BBB+","BBB+","Public Company",993.5,45.82,83391.7,36347,10593,7250,4616,2656,1182,82693,133013,43509,34795,2.71,2.31,16,7298.1,11,3987.85,12
"Schneider Electric S.E. ","ENXTPA","SU","Industrials",1836,"EU",128000,"A-","A-","Public Company",555.1,126.89,83377.2,32872.7,13249,6072.5,5153.7,3310.7,2981.9,4351.2,62034.6,12374.6,31967.5,5.95,7.53,14,6717.3,13,5724.67,13
"L'Air Liquide S.A. ","ENXTPA","AI","Materials",1902,"EU",66400,"A","A","Public Company",521.7,131.65,82863.8,26537.9,15544.5,6549.8,4424.3,2757.4,2555,25624.4,53204.9,15881,25018.5,5.3,6.11,22,7287.4,20,4830.39,21
"Poste Italiane S.p.A. ","BIT","PST","Financials",1862,"EU",119000,"BBB","BBB","Public Company",1298.6,8.02,81682.2,36062.8,3850.1,3277.2,2685.6,1848.2,9050.4,3847.4,323812.1,119070.9,13772.3,1.42,1.26,6,3093.9,5,2242.53,8
"Zoetis Inc. ","NYSE","ZTS","Health Care",1952,"US/CA",12100,"BBB","BBB","Public Company",468.1,165.53,81496,7776,5621,3251,2845,2090,3485,2603,13900,6792,4544,4.43,5.27,14,3700.4,5,3340.58,10
"PG&E Corporation ","NYSE","PCG","Utilities",1905,"US/CA",26000,"BB-","BB-","Public Company",2087.5,12.5,81332.2,20642,6293,6811,3234,212,291,71060,103327,46168,21223,0.107,1.12,16,8211.9,11,5569.04,6
"Honda Motor Co., Ltd. ","TSE","7267","Consumer Discretionary",1946,"APAC",204035,"A-","A-","Public Company",1710.7,26.73,81197.4,119840.4,22170.2,15529.6,6256.8,4663.9,30262.8,25358.7,197417.1,69348.9,88711.1,2.72,3.83,15,11008,12,7747.61,16
"EssilorLuxottica Société anonyme ","ENXTPA","EL","Consumer Discretionary",1849,"EU",186374,"A","A","Public Company",444,156.62,80717.8,22540.7,15085.7,5124.4,3101.6,1863.9,3745,8121.2,67585.6,14802.7,40939.4,4.23,6.5,16,6103.7,13,4069.42,18
"Sempra ","NYSE","SRE","Utilities",1998,"US/CA",15390,"BBB+","BBB+","Public Company",314.3,168.67,80502.7,12857,4972,4923,2979,1171,559,44488,72045,25590,27419,3.55,8.46,18,5540.5,3,3890.8,12
"Poly Developments and Holdings Group Co., Ltd. ","SHSE","600048","Real Estate",1992,"APAC",61854,"BBB","BBB","Public Company",11970.4,2.44,79174.9,44855.9,11441.4,7200.6,6978.4,4151.2,26978.6,2523.2,220371.7,53880,47683.5,0.348,0.342,5,8534.9,9,7748.56,10
"Airbus SE ","ENXTPA","AIR","Industrials",1998,"EU",128873,"A","A","Public Company",787.5,103.55,78956.6,59307.4,9815,6824.2,4666.5,4059.2,16572.3,18805.9,121741.2,17104.5,10788.1,5.16,5.87,15,9022.7,13,6596.57,12
"Vinci SA ","ENXTPA","DG","Industrials",1899,"EU",218569,"A-","A-","Public Company",564.9,92.75,78886.5,57125,8522.9,8764.4,5955.5,3988.1,12583.9,11717.3,113751.8,38096.2,28170.1,7.02,7.08,16,10093.3,16,6647.96,15
"Infosys Limited ","NSEI","INFY","Information Technology",1981,"APAC",335186,"A","A","Public Company",4194.5,19.03,77882.8,16311,5233,4152,3787,2948,2305,2429,15555,722,9994,0.702,0.743,37,4523,40,4030.03,41
"China Mobile Limited ","SEHK","941","Communication Services",1997,"APAC",449934,"A+","A+","Public Company",21362.8,6.7,77456.7,133529.3,64705.3,44621.4,19768.3,19002.7,38400.5,133866,289854.1,8969.7,190519.2,0.908,0.899,19,44636.1,18,20141.23,7
"Intercontinental Exchange, Inc. ","NYSE","ICE","Financials",2000,"US/CA",8936,"A-","A-","Public Company",558.5,107.01,77357.6,7146,7355,4552,3752,3372,607,1338,193502,14242,22748,6.01,5.39,14,4875.8,11,4481.75,10
"Equinix, Inc. ","NasdaqGS","EQIX","Real Estate",1998,"US/CA",10944,"BBB","BBB","Public Investment Firm",91.1,689.53,77236.5,6260,2915.4,2461.1,741,639.3,1536.4,16728.2,27918.7,14992.5,10881.8,7.07,7.96,16,3529.7,20,1262.56,14
"Norfolk Southern Corporation ","NYSE","NSC","Industrials",1980,"US/CA",18100,"BBB+","BBB+","Public Company",234.9,262.99,76098.4,11142,5938,5938,4737,3035,839,32064,38493,14787,13641,12.6,14.4,25,6325.6,18,5032.4,21
"General Dynamics Corporation ","NYSE","GD","Industrials",1899,"US/CA",103100,"A-","A-","Public Company",273.7,238.01,76095.7,38469,6522,5280,4404,3308,1603,6993,50073,13175,17641,11.9,13.2,14,5399.2,11,4564.3,14
"Bharti Airtel Limited ","BSE","532454","Communication Services",1995,"APAC",18000,"BBB-","BBB-","Public Company",5952.5,9.14,76008,15427.8,9367.8,6648.5,3473.7,705.9,803.3,16740,47919,22358.5,12347.6,0.127,0.281,24,9143.3,28,4627.26,26
"Kinder Morgan, Inc. ","NYSE","KMI","Energy",1936,"US/CA",10529,"BBB","BBB","Public Company",2253,19.26,75999.8,16610,7048,5929,3829,2434,1140,35968,70416,33653,31921,1.07,1.18,13,7555.6,18,4353.85,5
"Takeda Pharmaceutical Company Limited ","TSE","4502","Health Care",1781,"APAC",47347,"BBB+","BBB+","Public Company",1546.1,27.9,75801.7,29390.5,17756.6,7577,3690.3,1452.6,6997.2,13034.2,108520,39615.3,46803.4,0.932,1.35,13,8825.5,12,3730.63,12
"EOG Resources, Inc. ","NYSE","EOG","Energy",1985,"US/CA",2800,"A-","A-","Public Company",586,125.22,75618.5,19777,18149,11370,7409,5708,5209,29169,38236,5907,22180,9.81,16.9,23,17076.9,19,13106.73,10
"Booking Holdings Inc. ","NasdaqGS","BKNG","Consumer Discretionary",1997,"US/CA",19450,"A-","A-","Public Company",39.7,2008.54,75453.6,10958,12338,4500,4082,1544,11127,1318,23641,11420,6178,37.8,109.2,26,5769.5,32,5275.64,25
"Fidelity National Information Services, Inc. ","NYSE","FIS","Information Technology",1968,"US/CA",65000,"BBB","BBB","Public Company",608,96.17,75254.3,13877,5484,4158,1455,846,2010,1411,82931,20877,47532,1.39,7.47,29,6762.4,25,2239.2,17
"The Sherwin-Williams Company ","NYSE","SHW","Materials",1866,"US/CA",61000,"BBB","BBB","Public Company",257.7,244.53,75221.4,19944.6,8521.2,3042.8,2476.8,1754.9,165.7,3687.9,20666.7,11495.4,2437.2,6.76,9.64,26,3902.2,22,3546.75,20
"Canadian Natural Resources Limited ","TSX","CNQ","Energy",1973,"US/CA",9735,"BBB-","BBB-","Public Company",1121.4,57.66,75151.7,23751.3,17390.6,16242.4,11918,8803.2,587.9,55439.4,60581.3,12863,29194.2,7.54,8.52,9,18500,6,12909.96,7
"Colgate-Palmolive Company ","NYSE","CL","Consumer Staples",1806,"US/CA",33800,"AA-","AA-","Public Company",834.1,80.92,74817,17421,10308,4192,3634,1944,832,4257,15040,7854,971,2.31,3.14,20,4449,14,3860.9,17
"CME Group Inc. ","NasdaqGS","CME","Financials",1898,"US/CA",3480,"AA-","AA-","Public Company",359.4,199.13,73574.1,4679.3,4830,3186.2,2813.5,2925.2,2834.9,930.8,196780.3,4025.6,27399.3,8.06,8.13,17,3331.3,12,3277.91,12
"Kering SA ","ENXTPA","KER","Consumer Discretionary",1963,"EU",41519,"A","A","Public Company",122.8,541.66,72808.9,20067.3,15162.6,6495.4,5854.3,3851.9,5969.2,8266.1,35332.2,11279.8,15621.7,31.1,33.7,23,7813,19,6182.5,23
"Vale S.A. ","BOVESPA","VALE3","Materials",1942,"LATAM",74316,"BBB-","BBB-","Public Company",4591.3,13.53,72714.5,52681.2,25034.4,26581.3,23771.8,19813.4,11739.5,41997.1,89582.7,17937.6,35367.7,4.11,3.35,2,23032.5,16,17349.5,13
"China Vanke Co., Ltd. ","SZSE","000002","Real Estate",1984,"APAC",139494,"BBB+","BBB+","Public Company",11557.8,2.31,72705.7,71277.6,14956.1,8449.3,7975.5,3574.3,22149.7,6369.2,305172.4,46279.8,61828.7,0.308,0.397,18,10628.4,11,10084.22,18
"Telefónica, S.A. ","BME","TEF","Communication Services",1924,"EU",101962,"BBB-","BBB-","Public Company",5615,4.16,72628.2,45545.3,21214.7,7067.7,1428,558.2,9757.8,34463.8,124204.5,57278.5,32621.4,0.049,0.334,3,12416,22,4145.7,17
"Brookfield Infrastructure Partners L.P. ","NYSE","BIP","Utilities",2007,"LATAM",6000,"BBB+","BBB+","Public Company",458.2,43.27,72327.6,11537,3558,5285,3114,449,1406,38655,73961,33354,26391,0.904,0.723,4,3207,8,1787.85,1
"Public Storage ","NYSE","PSA","Real Estate",1971,"US/CA",5800,"A","A","Public Investment Firm",175.5,350.25,72254.2,3498.9,2920.4,2814.5,1979.8,2277.6,734.6,15307,17380.9,7475.3,9423.5,11.8,10.8,4,3089,6,2154.11,4
"BCE Inc. ","TSX","BCE","Communication Services",1880,"US/CA",49781,"BBB+","BBB+","Public Company",911.9,50.34,72134.1,18529.6,8066.5,6701.6,4273.1,2322.1,163.6,22311.5,52757.4,23447.8,18128.2,2.44,2.65,17,8138.4,16,4366.78,6
"CK Hutchison Holdings Limited ","SEHK","1","Industrials",1828,"APAC",170294,"A","A","Public Company",3834.5,6.65,71993.4,36016.5,20980.3,6774.3,3833.6,4367.3,19638.2,26668.1,155625.5,52930.9,82620.8,1.14,1.1,9,8264.4,6,4579.07,7
"Hitachi, Ltd. ","TSE","6501","Industrials",1910,"APAC",368247,"A","A","Public Company",961.1,51.64,71573.9,84528.2,19113.5,7562.7,4739.2,3667.7,7978.2,20413.6,114362.6,25748.2,44100.3,3.8,5.19,14,9503.6,10,5446.32,15
"Illinois Tool Works Inc. ","NYSE","ITW","Industrials",1912,"US/CA",45000,"A+","A+","Public Company",309.6,207.82,71107.6,14455,6149,3950,3533,2648,1527,2031,16077,7881,3626,8.47,9.29,15,4336.8,13,3878.58,17
"Dollar General Corporation ","NYSE","DG","Consumer Discretionary",1939,"US/CA",163000,"BBB","BBB","Public Company",225.6,246.08,70675.2,34220.4,11106.3,3802.8,3124.4,2315.2,344.8,14439.1,26327.4,14246.3,6262,10.1,12.4,24,4434.9,18,3707.66,19
"Walgreens Boots Alliance, Inc. ","NasdaqGS","WBA","Consumer Staples",1901,"US/CA",258500,"BBB","BBB","Public Company",864.3,36.8,70483.6,132509,29359,4610,2874,5379,1193,31916,81285,34435,24140,6.22,4.41,17,5578.8,8,4473.09,11
"Vonovia SE ","XTRA","VNA","Real Estate",1998,"EU",15845,"BBB+","BBB+","Public Company",795.8,28.07,70315,6006.4,3202.2,2214.5,1055.8,1777.8,1629.5,743.9,120914.7,54334.5,41561.6,2.58,2.41,4,2735.3,10,2674,5
"ITOCHU Corporation ","TSE","8001","Industrials",1858,"APAC",115124,"A","A","Public Company",1469.3,28.53,69588.6,101234.8,14506.4,5599.5,4505.5,5765.1,5037.4,15943.2,100084.5,32255.2,39228.7,3.9,3.64,9,7506,4,4641.42,2
"Keurig Dr Pepper Inc. ","NasdaqGS","KDP","Consumer Staples",1981,"US/CA",27500,"BBB","BBB","Public Company",1416.1,39.69,68914.5,12683,7047,3579,2866,2176,567,3167,50598,13407,24972,1.54,1.78,17,4263.9,13,3710.47,14
"Boston Scientific Corporation ","NYSE","BSX","Health Care",1979,"US/CA",41000,"BBB","BBB","Public Company",1431.6,41.78,68865.8,11888,8556,3241,2121,884,1925,2687,32229,9525,16622,0.581,1.88,25,3818.5,17,3482.05,17
"Mitsui & Co., Ltd. ","TSE","8031","Industrials",1947,"APAC",44346,"A","A","Public Company",1585,24.1,68837.3,96822.6,8731.8,6043,4214.1,7347.5,9287.9,18041.9,122892.2,40165.5,47724.8,4.55,4.12,1,3236.1,1,1663.33,1
"The Williams Companies, Inc. ","NYSE","WMB","Energy",1908,"US/CA",4783,"BBB","BBB","Public Company",1218.5,35.6,68606.7,10775,5132,4374,2429,1567,1680,29417,47612,23839,14101,1.29,1.6,5,6466.6,18,2778.01,10
"Eaton Corporation plc ","NYSE","ETN","Industrials",1911,"EU",85947,"A-","A-","Public Company",398.3,148.05,68469.3,19628,6437,3608,2644,2313,297,3506,34027,9115,16451,5.8,7.95,23,4472.9,12,3648.46,15
"Heineken N.V. ","ENXTAM","HEIA","Consumer Staples",1864,"EU",81070,"BBB+","BBB+","Public Company",575.6,91.21,68414.8,24952.8,9797.6,5347.4,3651.8,3780.3,3693.8,14103.3,55555.6,19189.1,22404.2,6.57,5.06,20,6510.6,16,4582.49,17
"Schlumberger Limited ","NYSE","SLB","Energy",1926,"US/CA",92000,"A","A","Public Company",1414.4,40.17,68147,22929,4229,4987,3276,2620,1757,6982,41511,15009,15286,1.86,2.44,23,6824.2,23,4710,19
"Emerson Electric Co. ","NYSE","EMR","Industrials",1890,"US/CA",86700,"A","A","Public Company",591.3,87.97,67591.7,18236,7867,4244,3432,3161,2354,4296,24715,7233,9923,5.32,5.38,23,5199.6,16,4153.57,16
"The Kraft Heinz Company ","NasdaqGS","KHC","Consumer Staples",1869,"US/CA",36000,"BBB-","BBB-","Public Company",1225.4,38.61,67129.2,26042,8164,6018,5101,1517,3445,7375,93394,22647,49452,1.24,2.7,17,6007,16,4938.92,13
"Lam Research Corporation ","NasdaqGS","LRCX","Information Technology",1980,"US/CA",17700,"A-","A-","Public Company",137,478.19,67073,17227,7871.8,5715.6,5381.8,4605.3,3522,1874.2,17195.6,5224.6,6278.4,32.9,37.3,24,6164.7,12,6071.3,18
"Compagnie Financière Richemont SA ","SWX","CFR","Consumer Discretionary",1979,"EU",35853,"A+","A+","Public Company",571.1,119.37,66667.6,21307.5,13352.6,4585.6,3804.7,2303.9,10972,7320.6,44419,16716.3,22065.1,4.07,5.68,17,5693.9,22,4232.45,23
"Xcel Energy Inc. ","NasdaqGS","XEL","Utilities",1909,"US/CA",11321,"A-","A-","Public Company",547,76.08,66505.1,13431,5429,4625,2196,1632,166,46440,57851,24808,15612,3.01,3.29,16,4888.3,10,2634.69,10
"Reckitt Benckiser Group plc ","LSE","RKT","Consumer Staples",1819,"EU",40000,"A-","A-","Public Company",715.6,78.23,66239.3,17919.6,9572.9,4118.1,3754.8,3692.8,1707.5,2949.1,36486.5,13045,10091.8,5.17,4.09,17,4594.9,17,4051.09,16
"Nutrien Ltd. ","TSX","NTR","Materials",2017,"US/CA",23500,"BBB","BBB","Public Company",538.9,101.56,65720.8,26861,14627,10992,9347,6889,499,20016,49954,10846,23699,12.3,16.4,23,14283.8,22,12042.58,15
"PTT Public Company Limited ","SET","PTT","Energy",1978,"APAC",10630,"BBB+","BBB+","Public Company",28563,1.06,65074.2,68028.5,13587.9,11538.9,7971.5,3269.8,9418.4,48470.9,92700.2,28605.7,44360.3,0.115,0.164,11,11734.9,17,6891.01,15
"Pioneer Natural Resources Company ","NYSE","PXD","Energy",1997,"US/CA",1932,"BBB","BBB","Public Company",238.7,259.89,64813.2,17870,13005,11648,9017,6188,3847,30224,36811,7835,22837,25.4,31.6,31,13633.3,20,10967.19,17
"London Stock Exchange Group plc ","LSE","LSEG","Financials",1698,"EU",23261,"A","A","Public Company",557,99.38,64500.8,9126.4,7877.8,3186.1,2094.9,1156.8,3608.6,1126.6,1065792.4,11332.1,34554.2,2.08,3.96,13,4382.5,13,3428.52,9
"Orange S.A. ","ENXTPA","ORA","Communication Services",1990,"EU",139698,"BBB+","BBB+","Public Company",2658.8,10.12,64200.2,48358.9,16485.5,12459.8,4880.8,4411.5,9804.4,43427.7,122905.7,49757.8,40214.9,1.47,1.19,5,12940.5,17,5929.06,8
"Air Products and Chemicals, Inc. ","NYSE","APD","Materials",1940,"US/CA",20750,"A","A","Public Company",221.8,266.59,64033,10323,3246.1,3719.7,2381.7,2283.4,4468.9,13820.8,26859.2,8251.9,14088,10.3,11.2,25,4568.1,18,2649.54,14
